,Judul Perkerjaan,lokasi,Batas Akhir,Deskripsi Perkerjaan,Info Lain
1,Data Science Fellowship,Tidak ada info,Sep 16,"

QR Code Link to This Post


What is Pathrise

Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from heads of marketing of publicly traded companies to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 500 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship

The Pathrise Fellowship is a program for students and new grads that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry data scientists, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission

We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications

You want to work with an experienced advisor who can give you expert advice.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=bosdata&utm_medium=job_board ","
compensation: 80,000-160,000

employment type: full-time

telecommuting ok

"
2,"Software Engineer, Automated Mapping | Toyota", (Cambridge),Sep 14,"

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply


HireArt is helping TRI hire a skilled and highly motivated Software Engineer to support the development and performance of high-definition maps for autonomous driving. This position is fully remote and has potential for extension for the right candidate. Applicants based throughout the U.S. who can accommodate a Pacific Timezone work schedule are welcome to apply. In an era of increasing vehicle automation, having up-to-date and highly accurate maps is critical to ensuring safe vehicle operation both on the highway and on surface roads. As Software Engineer, Mapping, you’ll have the opportunity to work with engineers and researchers innovating in autonomous mapping and driving technology. The ideal candidate is an adept engineer experienced in Linux, Git, and C++. You're also a great communicator, collaborator, and problem-solver. As Software Engineer, Mapping you will:
Collaborate with other software engineers and research scientists to improve the software behind maintaining high-definition maps for autonomous driving.
Be at the front-line interfaces between engineers, researchers, and map annotators to decrease turn-around time for map updates and feature requests.
With the guidance of senior software engineers, implement high-quality software to allow for both high-performance and easily understandable and maintainable software.
Live and breathe the software practices that produce maintainable code, including automated testing, continuous integration, code style conformity, and code review.


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply


Requirements

B.S. in Computer Science or a related field
2+ years of professional experience in related position
A great team player and collaborator
Strong communication skills 
Experienced in Linux, Git, and C++.
Experience with 3D graphics/OpenGL preferred
Ability to work with Python code as needed
Commitment: This is a full-time (40 hours per week), 6-month contract position with potential for extension. This role is staffed via HireArt and based in Los Altos, CA. This position is fully remote and applicants based throughout the U.S. who can accommodate a Pacific Timezone work schedule are welcome to apply. HireArt provides Equal Employment Opportunity without regard to the applicant's race, color, creed, gender, gender identity or expression, sexual orientation, national origin, age, physical or mental disability, medical condition, religion, marital status, genetic information, veteran status, or any other status protected under federal, state or local laws. We are interested in every qualified candidate who is eligible to work in the United States. Unfortunately, we are not able to sponsor visas.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply


About Toyota Research Institute
At Toyota Research Institute (TRI), we’re working to build a future where everyone has the freedom to move, engage, and explore with a focus on reducing vehicle collisions, injuries, and fatalities. Join us in our mission to improve the quality of human life through advances in artificial intelligence, automated driving, robotics and materials science. We’re dedicated to building a world of “mobility for all” where everyone, regardless of age or ability, can live in harmony with technology to enjoy a better life. Through innovations in AI, we’ll...● Develop vehicles incapable of causing a crash, regardless of the actions of the driver.● Develop technology for vehicles and robots to help people enjoy new levels of independence, access, and mobility.● Bring advanced mobility technology to market faster.● Discover new materials that will make drive batteries and hydrogen fuel cells smaller, lighter, less expensive and more powerful.Our work is guided by a dedication to safety – in how we research, develop, and validate the performance of vehicle technology to benefit society. As a subsidiary of Toyota, TRI is fueled by a diverse and inclusive community of people who carry invaluable leadership, experience, and ideas from industry-leading companies. Over half of our technical team carries PhD degrees. We’re continually searching for the world’s best talent ‒ people who are ready to define the new world of mobility with us!We strive to build a company that helps our people thrive, achieve work life balance, and bring their best selves to work. At TRI, you will have the opportunity to enjoy the best of both worlds ‒ a fun start up environment with brilliant people who enjoy solving tough problems and the financial backing to successfully achieve our goals. If you’re passionate about working with smart people to make cars safer, enable the elderly to age in place, or design alternative fuel sources, TRI is the place for you. ‒ Start your impossible with us. https://www.tri.global/

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply

 ","
compensation: Competitive

employment type: full-time

telecommuting ok

"
3,Data Science Fellowship,Tidak ada info,Sep 10,"

QR Code Link to This Post


What is Pathrise

Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from heads of marketing of publicly traded companies to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 500 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship

The Pathrise Fellowship is a program for students and new grads that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry data scientists, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission

We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications

You want to work with an experienced advisor who can give you expert advice.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=bosdata&utm_medium=job_board ","
compensation: 80,000-160,000

employment type: full-time

telecommuting ok

"
4,"Software Engineer, Automated Mapping | Toyota", (Cambridge),Sep 10,"

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply


HireArt is helping TRI hire a skilled and highly motivated Software Engineer to support the development and performance of high-definition maps for autonomous driving. This position is fully remote and has potential for extension for the right candidate. Applicants based throughout the U.S. who can accommodate a Pacific Timezone work schedule are welcome to apply. In an era of increasing vehicle automation, having up-to-date and highly accurate maps is critical to ensuring safe vehicle operation both on the highway and on surface roads. As Software Engineer, Mapping, you’ll have the opportunity to work with engineers and researchers innovating in autonomous mapping and driving technology. The ideal candidate is an adept engineer experienced in Linux, Git, and C++. You're also a great communicator, collaborator, and problem-solver. As Software Engineer, Mapping you will:
Collaborate with other software engineers and research scientists to improve the software behind maintaining high-definition maps for autonomous driving.
Be at the front-line interfaces between engineers, researchers, and map annotators to decrease turn-around time for map updates and feature requests.
With the guidance of senior software engineers, implement high-quality software to allow for both high-performance and easily understandable and maintainable software.
Live and breathe the software practices that produce maintainable code, including automated testing, continuous integration, code style conformity, and code review.


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply


Requirements

B.S. in Computer Science or a related field
2+ years of professional experience in related position
A great team player and collaborator
Strong communication skills 
Experienced in Linux, Git, and C++.
Experience with 3D graphics/OpenGL preferred
Ability to work with Python code as needed
Commitment: This is a full-time (40 hours per week), 6-month contract position with potential for extension. This role is staffed via HireArt and based in Los Altos, CA. This position is fully remote and applicants based throughout the U.S. who can accommodate a Pacific Timezone work schedule are welcome to apply. HireArt provides Equal Employment Opportunity without regard to the applicant's race, color, creed, gender, gender identity or expression, sexual orientation, national origin, age, physical or mental disability, medical condition, religion, marital status, genetic information, veteran status, or any other status protected under federal, state or local laws. We are interested in every qualified candidate who is eligible to work in the United States. Unfortunately, we are not able to sponsor visas.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply


About Toyota Research Institute
At Toyota Research Institute (TRI), we’re working to build a future where everyone has the freedom to move, engage, and explore with a focus on reducing vehicle collisions, injuries, and fatalities. Join us in our mission to improve the quality of human life through advances in artificial intelligence, automated driving, robotics and materials science. We’re dedicated to building a world of “mobility for all” where everyone, regardless of age or ability, can live in harmony with technology to enjoy a better life. Through innovations in AI, we’ll...● Develop vehicles incapable of causing a crash, regardless of the actions of the driver.● Develop technology for vehicles and robots to help people enjoy new levels of independence, access, and mobility.● Bring advanced mobility technology to market faster.● Discover new materials that will make drive batteries and hydrogen fuel cells smaller, lighter, less expensive and more powerful.Our work is guided by a dedication to safety – in how we research, develop, and validate the performance of vehicle technology to benefit society. As a subsidiary of Toyota, TRI is fueled by a diverse and inclusive community of people who carry invaluable leadership, experience, and ideas from industry-leading companies. Over half of our technical team carries PhD degrees. We’re continually searching for the world’s best talent ‒ people who are ready to define the new world of mobility with us!We strive to build a company that helps our people thrive, achieve work life balance, and bring their best selves to work. At TRI, you will have the opportunity to enjoy the best of both worlds ‒ a fun start up environment with brilliant people who enjoy solving tough problems and the financial backing to successfully achieve our goals. If you’re passionate about working with smart people to make cars safer, enable the elderly to age in place, or design alternative fuel sources, TRI is the place for you. ‒ Start your impossible with us. https://www.tri.global/

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply

 ","
compensation: Competitive

employment type: full-time

telecommuting ok

"
5,Data Science Fellowship,Tidak ada info,Sep  1,"

QR Code Link to This Post


What is Pathrise

Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from heads of marketing of publicly traded companies to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 500 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship

The Pathrise Fellowship is a program for students and new grads that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry data scientists, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission

We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications

You want to work with an experienced advisor who can give you expert advice.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=bosdata&utm_medium=job_board ","
compensation: 80,000-160,000

employment type: full-time

telecommuting ok

"
6,"Software Engineer, Automated Mapping | Toyota", (Cambridge),Sep  1,"

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply


HireArt is helping TRI hire a skilled and highly motivated Software Engineer to support the development and performance of high-definition maps for autonomous driving. This position is fully remote and has potential for extension for the right candidate. Applicants based throughout the U.S. who can accommodate a Pacific Timezone work schedule are welcome to apply. In an era of increasing vehicle automation, having up-to-date and highly accurate maps is critical to ensuring safe vehicle operation both on the highway and on surface roads. As Software Engineer, Mapping, you’ll have the opportunity to work with engineers and researchers innovating in autonomous mapping and driving technology. The ideal candidate is an adept engineer experienced in Linux, Git, and C++. You're also a great communicator, collaborator, and problem-solver. As Software Engineer, Mapping you will:
Collaborate with other software engineers and research scientists to improve the software behind maintaining high-definition maps for autonomous driving.
Be at the front-line interfaces between engineers, researchers, and map annotators to decrease turn-around time for map updates and feature requests.
With the guidance of senior software engineers, implement high-quality software to allow for both high-performance and easily understandable and maintainable software.
Live and breathe the software practices that produce maintainable code, including automated testing, continuous integration, code style conformity, and code review.


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply


Requirements

B.S. in Computer Science or a related field
2+ years of professional experience in related position
A great team player and collaborator
Strong communication skills 
Experienced in Linux, Git, and C++.
Experience with 3D graphics/OpenGL preferred
Ability to work with Python code as needed
Commitment: This is a full-time (40 hours per week), 6-month contract position with potential for extension. This role is staffed via HireArt and based in Los Altos, CA. This position is fully remote and applicants based throughout the U.S. who can accommodate a Pacific Timezone work schedule are welcome to apply. HireArt provides Equal Employment Opportunity without regard to the applicant's race, color, creed, gender, gender identity or expression, sexual orientation, national origin, age, physical or mental disability, medical condition, religion, marital status, genetic information, veteran status, or any other status protected under federal, state or local laws. We are interested in every qualified candidate who is eligible to work in the United States. Unfortunately, we are not able to sponsor visas.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply


About Toyota Research Institute
At Toyota Research Institute (TRI), we’re working to build a future where everyone has the freedom to move, engage, and explore with a focus on reducing vehicle collisions, injuries, and fatalities. Join us in our mission to improve the quality of human life through advances in artificial intelligence, automated driving, robotics and materials science. We’re dedicated to building a world of “mobility for all” where everyone, regardless of age or ability, can live in harmony with technology to enjoy a better life. Through innovations in AI, we’ll...● Develop vehicles incapable of causing a crash, regardless of the actions of the driver.● Develop technology for vehicles and robots to help people enjoy new levels of independence, access, and mobility.● Bring advanced mobility technology to market faster.● Discover new materials that will make drive batteries and hydrogen fuel cells smaller, lighter, less expensive and more powerful.Our work is guided by a dedication to safety – in how we research, develop, and validate the performance of vehicle technology to benefit society. As a subsidiary of Toyota, TRI is fueled by a diverse and inclusive community of people who carry invaluable leadership, experience, and ideas from industry-leading companies. Over half of our technical team carries PhD degrees. We’re continually searching for the world’s best talent ‒ people who are ready to define the new world of mobility with us!We strive to build a company that helps our people thrive, achieve work life balance, and bring their best selves to work. At TRI, you will have the opportunity to enjoy the best of both worlds ‒ a fun start up environment with brilliant people who enjoy solving tough problems and the financial backing to successfully achieve our goals. If you’re passionate about working with smart people to make cars safer, enable the elderly to age in place, or design alternative fuel sources, TRI is the place for you. ‒ Start your impossible with us. https://www.tri.global/

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/726481c8/apply

 ","
compensation: Competitive

employment type: full-time

telecommuting ok

"
7,Become a Top Certified DevOps Engineer,Tidak ada info,Aug 26,"

QR Code Link to This Post


The jobs market in computer and information technology continues to flourish. DevOps professionals are in high demand for the broad range of industries that are progressing their business towards DevOps.

We assist you in becoming a Red Hat certified Linux+DevOps professional through the best practices in multiple areas of software throughout its development life cycle. At the end of the course, you will be equipped with all the skills that are necessary to become a DevOps engineer. It will strengthen your capabilities to align with market demands and demonstrate your expertise.

Our innovative training courses have helped students upskill and change their trajectory of their careers. Linux+DevOps course will provide you with in-depth knowledge, you will be trained with complete 350 hours of hands-on training. We have course offerings designed to build the skills needed to embrace the challenges of any job. All aspects of our learning service are truly student focused, our students consistently say that our training deliveries have exceeded their expectations.

After successfully completing the Linux+DevOps training and acquiring the Red Hat certificate, one becomes thoroughly skilled for extensive opportunities to work in the top industries with various job profiles.

Ramp up your career with Red Hat certification!

If you would like to learn more about the program - Sign up for free Event hosted by experienced instructors, where you can learn a lot about the program. This session is MANDATORY if you are planning to sign up for our course.

Register here: https://www.eventbrite.com/e/devops-course-info-session-online-2-tickets-116901394217

Date: Sun, Sep 20, 2020
Time: 11 AM - 12:30 PM EDT
Location: Online Webinar

Contact us at ziyotek@ziyotek.com
Call us at 202-630-0504
Visit us at ziyotek.com
","
compensation: 95,000

employment type: employee's choice

"
8,Software Engineer, (Cambridge (Remote Friendly)),Aug 26,"

QR Code Link to This Post


The MIT Digital Currency Initiative is looking for a software engineer (remote-friendly) to help build the future of money. Our existing financial system is slow, expensive, and deeply unfair. We need a new financial system that serves everyone instead of just wealthy institutions, and digital cash could be its base layer. This new role will work with research scientists and developers at the DCI to design and implement open source software for a retail central bank digital currency, collaborating closely with a team at the Federal Reserve Bank of Boston.

Working at MIT, this is a chance to help build the money of the future. We're looking for a software engineer who can work with students, developers, and researchers to bring cash into the internet era.

You should have:

Systems or security programming experience (preferably C/C++, Go, or Rust)

Passion for designing the next iteration of digital money

Interest in collaborating with students and researchers

A strong desire to contribute to open source software projects

Ability and interest in communicating with non-technical stakeholders

Desire to work independently and drive process, like creating a plan to distill requirements in order to implement and evaluate systems with different trade-offs

Willingness to help create an inclusive environment for people of all backgrounds

Responsibilities:

In collaboration with others at the DCI and the team at the Federal Reserve Bank of Boston, work as part of a team to architect and design a secure, high-throughput, resilient digital cash transaction system

Lead technical implementation of such a system

Operate effectively in an independent environment where requirements are not necessarily well-specified

Contribute to creating an inclusive environment where people of all races, genders, ages, and other backgrounds are empowered to do their best work and receive recognition for it

MIT DCI and the Media Lab:

The Media Lab is a research organization within MIT without traditional disciplinary constraints. It is scientists, engineers, artists, and designers who strive to create technologies and experiences that enable people to understand and transform their lives, communities, and environments.

The DCI is a team of researchers and developers building cryptocurrency and blockchain technology software. Our mission is to empower people by making it as easy to move value as it is to move information.

We have been one of the leading institutions building Bitcoin software since our founding in 2015, and we have been thinking about central bank digital currency since 2016.

We contribute to and participate in the open source cryptocurrency community via talks, software, code review, and published papers. All our work is open-source.

We welcome remote or non-remote applicants. Our team is currently 100% remote, and during non-pandemic times, closer to 50%. Our office is in the Media Lab on MIT’s campus in Cambridge, MA. We can provide pay that is competitive for university developer and researcher roles, and whether this is part-time or full-time is negotiable. International workers are welcome to apply as long as working hours overlap at least 3 hours with 9 AM - 6 PM EST. We cannot sponsor visas.

If this is exciting to you, please reach out with your CV or résumé. We anticipate a start date in Fall 2020.    ","
compensation: Compensation commensurate with experience

employment type: full-time

telecommuting ok

"
9,Data Science Fellowship,Tidak ada info,Aug 25,"

QR Code Link to This Post


What is Pathrise

Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from heads of marketing of publicly traded companies to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 500 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship

The Pathrise Fellowship is a program for students and new grads that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry data scientists, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission

We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications

You want to work with an experienced advisor who can give you expert advice.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=bosdata&utm_medium=job_board ","
compensation: 80,000-160,000

employment type: full-time

telecommuting ok

"
10,Senior Technical Support Engineer, (boston: boston/cambridge/brookline),Aug 24,"

QR Code Link to This Post


Senior Technical Support Engineer (Boston, MA) Compensation:  $100KOverview The Senior Technical Support Engineer will support this firm's SaaS platform.  This role will require direct customer support of SaaS applications as well as production operations support.About This CompanyA fast-growing, quick-moving fintech, which is helping to transform how banks lend money and make borrowing an easier, fully digital experience, is currently growing. This firm is in the middle of scaling the company to meet customer demand and solve a number of interesting technical challenges. If you're looking to make a big impact in your company and influence your team, this role may be right for you!This is a unique company with advantages that have allowed it to scale rapidly. The company's real-time lending technology was initially developed inside of a high-profile fintech incubator. After attracting great interest from banks, this firm was launched in 2017.Responsibilities -       Triage daily inbound support issues from customers-       Become an expert on this firm's product and handle level 1 and level 2 issues including reproduction in test environments and filing defects when appropriate-       Read and debug application logs to determine root cause and remedy when appropriate-       Monitor production logs and alert systems and respond to issues that require remediation-       Debug web applicationsCandidate Experience -       BA/BS or MS in Management Information Systems, Computer Science, or Computer Engineering-       4+ years of experience in Customer Support, Production Support, Development, or QA-       Excellent communication skills-       Linux Admin level expertise is a plus-       Basic understanding of Networking protocols such as DNS, SSH, HTTPS, SFTP-       Understanding of Web Applications-       Knowledge of SQL/Relational Databases required-       Financial industry knowledge desired-       Python and Jenkins skills desired-       Experience supporting applications in the cloud (AWS preferred)-       Must be detail-oriented and organized-       CRM and Defect Tracking tool knowledge (Salesforce and Jira preferred)-       Familiarity with SaaS monitoring tools desired (PagerDuty, Pingdom, Nagios for example)Benefits-       Unlimited paid vacation-       Competitive Health and Dental Coverage-       401k-       Casual Work Environment-       Remote-work accepted/encouraged-       Catered weekly lunchesFind Us on Facebook!Follow Us on Twitter!Beacon Hill is an Equal Opportunity Employer that values the strength diversity brings to the workplace. Individuals with Disabilities and Protected Veterans are encouraged to apply.Company Profile:Beacon Hill Technologies, a premier National Information Technology Staffing Group, provides world class technology talent across all industries on a contract, direct (permanent), contract-to-direct and project basis.  Beacon Hill Technologies' dedicated team of recruiting and staffing experts consistently delivers quality IT professionals to solve our customers' technical and business needs. Beacon Hill Technologies covers a broad spectrum of IT positions, including Project Management and Business Analysis, Programming/Development, Database, Infrastructure, Quality Assurance, Production/Support and ERP roles.Learn more about Beacon Hill Staffing Group and our specialty divisions, Beacon Hill Associates, Beacon Hill Financial, Beacon Hill HR, Beacon Hill Legal, Beacon Hill Life Sciences and Beacon Hill Technologies by visiting www.beaconhillstaffing.com. We look forward to working with you.Beacon Hill. Employing the Future?
","
compensation: $80000 - $100000 per year

employment type: full-time

"
